,date,sub-region,arrivals
543,Mar 2021,Southern Asia,150.0
544,Mar 2021,Southern Europe,9.0
545,Mar 2021,Sub-Saharan Africa,14.0
546,Mar 2021,Western Asia,24.0
547,Mar 2021,Western Europe,24.0
548,Mar 2022,Australia and New Zealand,95.0
549,Mar 2022,Central Asia,17.0
550,Mar 2022,Eastern Asia,212.0
551,Mar 2022,Eastern Europe,23.0
552,Mar 2022,Latin America and the Caribbean,8.0
553,Mar 2022,Melanesia,2.0
554,Mar 2022,Northern Africa,75.0
555,Mar 2022,Northern America,109.0
556,Mar 2022,Northern Europe,84.0
557,Mar 2022,Polynesia,1.0
558,Mar 2022,South-eastern Asia,1262.0
559,Mar 2022,Southern Asia,828.0
560,Mar 2022,Southern Europe,22.0
561,Mar 2022,Sub-Saharan Africa,20.0
562,Mar 2022,Western Asia,79.0
563,Mar 2022,Western Europe,69.0
564,Mar 2023,Australia and New Zealand,1243.0
565,Mar 2023,Central Asia,109.0
566,Mar 2023,Eastern Asia,3009.0
567,Mar 2023,Eastern Europe,293.0
568,Mar 2023,Latin America and the Caribbean,30.0
569,Mar 2023,Melanesia,24.0
570,Mar 2023,Micronesia,2.0
571,Mar 2023,Northern Africa,101.0
572,Mar 2023,Northern America,1283.0
573,Mar 2023,Northern Europe,417.0
574,Mar 2023,Polynesia,8.0
575,Mar 2023,South-eastern Asia,17401.0
576,Mar 2023,Southern Asia,2605.0
577,Mar 2023,Southern Europe,110.0
578,Mar 2023,Sub-Saharan Africa,48.0
579,Mar 2023,Western Asia,107.0
580,Mar 2023,Western Europe,479.0
581,Mar 2024,Australia and New Zealand,1535.0
582,Mar 2024,Central Asia,221.0
583,Mar 2024,Eastern Asia,5711.0
584,Mar 2024,Eastern Europe,309.0
585,Mar 2024,Latin America and the Caribbean,44.0
586,Mar 2024,Melanesia,25.0
587,Mar 2024,Micronesia,2.0
588,Mar 2024,Northern Africa,107.0
589,Mar 2024,Northern America,1439.0
590,Mar 2024,Northern Europe,619.0
591,Mar 2024,Polynesia,4.0
592,Mar 2024,South-eastern Asia,22765.0
593,Mar 2024,Southern Asia,2453.0
594,Mar 2024,Southern Europe,140.0
595,Mar 2024,Sub-Saharan Africa,51.0
596,Mar 2024,Western Asia,83.0
597,Mar 2024,Western Europe,597.0
598,May 2020,Australia and New Zealand,16.0
599,May 2020,Eastern Asia,7.0
600,May 2020,Eastern Europe,5.0
601,May 2020,Latin America and the Caribbean,12.0
602,May 2020,Northern Africa,13.0
603,May 2020,Northern America,11.0
604,May 2020,Northern Europe,7.0
605,May 2020,South-eastern Asia,448.0
606,May 2020,Southern Asia,12.0
607,May 2020,Southern Europe,4.0
608,May 2020,Sub-Saharan Africa,1.0
609,May 2020,Western Asia,3.0
610,May 2020,Western Europe,5.0
611,May 2021,Australia and New Zealand,17.0
612,May 2021,Central Asia,10.0
613,May 2021,Eastern Asia,139.0
614,May 2021,Eastern Europe,22.0
615,May 2021,Latin America and the Caribbean,8.0
616,May 2021,Melanesia,1.0
617,May 2021,Micronesia,11.0
618,May 2021,Northern Africa,25.0
619,May 2021,Northern America,47.0
620,May 2021,Northern Europe,23.0
621,May 2021,South-eastern Asia,675.0
622,May 2021,Southern Asia,35.0
623,May 2021,Southern Europe,11.0
624,May 2021,Sub-Saharan Africa,10.0
625,May 2021,Western Asia,18.0
626,May 2021,Western Europe,22.0
627,May 2022,Australia and New Zealand,662.0
628,May 2022,Central Asia,50.0
629,May 2022,Eastern Asia,824.0
630,May 2022,Eastern Europe,60.0
631,May 2022,Latin America and the Caribbean,18.0
632,May 2022,Melanesia,15.0
633,May 2022,Micronesia,1.0
634,May 2022,Northern Africa,123.0
635,May 2022,Northern America,581.0
636,May 2022,Northern Europe,220.0
637,May 2022,Polynesia,2.0
638,May 2022,South-eastern Asia,9898.0
639,May 2022,Southern Asia,1228.0
640,May 2022,Southern Europe,55.0
641,May 2022,Sub-Saharan Africa,28.0
642,May 2022,Western Asia,148.0
643,May 2022,Western Europe,220.0
644,May 2023,Australia and New Zealand,1222.0
645,May 2023,Central Asia,89.0
646,May 2023,Eastern Asia,3500.0
647,May 2023,Eastern Europe,194.0
648,May 2023,Latin America and the Caribbean,34.0
649,May 2023,Melanesia,25.0
650,May 2023,Micronesia,2.0
651,May 2023,Northern Africa,133.0
652,May 2023,Northern America,1149.0
653,May 2023,Northern Europe,321.0
654,May 2023,Polynesia,2.0
655,May 2023,South-eastern Asia,17844.0
656,May 2023,Southern Asia,2711.0
657,May 2023,Southern Europe,88.0
658,May 2023,Sub-Saharan Africa,46.0
659,May 2023,Western Asia,123.0
660,May 2023,Western Europe,447.0
661,May 2024,Australia and New Zealand,1279.0
662,May 2024,Central Asia,191.0
663,May 2024,Eastern Asia,5634.0
664,May 2024,Eastern Europe,193.0
665,May 2024,Latin America and the Caribbean,35.0
666,May 2024,Melanesia,35.0
667,May 2024,Micronesia,2.0
668,May 2024,Northern Africa,187.0
669,May 2024,Northern America,1315.0
670,May 2024,Northern Europe,399.0
671,May 2024,Polynesia,2.0
672,May 2024,South-eastern Asia,22252.0
673,May 2024,Southern Asia,3951.0
674,May 2024,Southern Europe,121.0
675,May 2024,Sub-Saharan Africa,52.0
676,May 2024,Western Asia,148.0
677,May 2024,Western Europe,486.0
